Nutrition,calories,fat_gram,saturatedFat_gram,protein_gram,carbs_grams,fiber_grams,sodium
Dill_Bread_2slices,180,2,0,6,32,2,380
eggs_2,140,10,3,12,0,,140
grapefruit,92,0,0,2,24,2,0
tomato_soup_1cup,120,3,2,6,19,2,330
sourcream_2tbls,60,5,3.5,1,2,0,15
orange,81,0,0,2,21,4,2
green_beans_canned,15,0,0,1,3,1,290
Wheat_Bread_allGrain_2slices,280,7,1,8,42,8,360
Wheat_Bread_allGrain_1andHalfSlices,210,5.25,0.75,6,31.5,6,270
Wheat_Bread_allGrain_1Slice,140,3.5,0.5,4,21,4,180
Avocado_half,161,14.5,2,2,8.5,6.5,7
Avocado_whole,322,29,4,4,17,18,14
corn_tortilla_3tortillas_Mission,150,0,0,3,14,3,30
corn_tortilla_2tortillas_Mission,100,0,0,2,9,2,20
gingerCarrotCashew_soup_Pacific,130,3,2,0,19,3,670
Mozzarella_lowSkim_WincoBrand_quarterCup,80,5,3.5,6,1,0,190
Ramen_cupNoodles_Shrimp_Maruchan,290,12,6,7,39,3,1150
blackberries_1cup,60,0.5,0,2,11,7,0
blueberries_1cup,42,0,0,1,13,2,1
roastedRedPepperTomatoSoup_Pacific_1cup,120,3,2,6,19,2,330
greenGrapes_40,8.5,0,0,0,36,0,1
strawberries_halfCup,25,0,0,0,6,1,0
almond_mild_quarter_cup,8,0.6,0,0.25,0.25,0.25,40
pear,57,0,0,0,15,3,1
pickle_4slices,30,0,0,0,8,1,150
cheese_American_slice1,70,5,3,4,1,0,250
oatsAndHoney_mix_CascadianFarms2_3rdcup,270,7,1,6,46,3,55
pineapple_1cup,25,0,0,0,6,1,0
ruffles_zestyCheddar_28gserving,150,8,1,2,17,1,170
spaghettiGlutenFreeBeyondBroccoliRedPepperPriano4cheese,528,19.34,5.04,28,62,7,385.03
barillaGlutenFreeSpaghetti_2oz,200,1,0,4,44,1,0
beyondMeat-soy/gluten free-serving 4oz,260,18,5,20,5,2,350
broccoli_2crowns,31,0.34,0.04,3,6,2,30.03
red_bell_pepper,37,0,0,1,7,2,5
banana_organic,105,0,0,1,27,3,1
edemamePastaBeyondMeatBalls,528,17.84,7.04,47,57,22,1025.03
edemamePasta,180,3.5,0,24,20,13,0
soyMeatballsFrozenDeli,220,13,7,17,12,3,570
DelMonte4cheesePastaSauce,60,1,0,2,12,2,420
red grapes serving 1 cup,104,0,0,1,27,1,3
Priano 4 Cheese Pasta Sauce,90,3.5,1,3,12,3,460
Winco Parmesan Cheese 2 tbsp,20,1.5,1,2,0,0,100
Extra Virgin Olive Oil Aldi brand 1 tbsp,120,14,2,0,0,0,0
Progresso Garden Vegetable Soup,190,0,0,6,41,7,1450
mango,107,0,0,1,28,3,3
Mission Tortilla Chips 10 chips,140,7,5,2,18,2,90
jack cheese Winco brand 2 servings 2/3 cup,200,9,9,12,1,0,340
Lentil Soup Simply Pure brand organic ,340,5,0,17,57,16,1670
Chex cereal Winco General Mills 1 1/4 cup serving,150,1,0,3,33,2,280
corn tortillas Guerrero Brand-2 tortillas,100,1,0,2,21,2,20
"Andes Chocolate mint pieces, serving sz 8 pcs",200,13,12,2,22,2,20
"crunchy corn tacos Aldis, serving is 3,",160,7,2,2,21,2,0
2 crunchy corn tacos Aldis,105.6,4.62,1.32,1.32,13.86,1.32,0
"Red Lentil Penne Pasta Barilla brand gluten free-serving 2oz, this is 3.5 oz",330,2.5,0.5,23,61,11,0
organic creamy butternut squash soup Pacific brand-1 cup serving,90,2,2,3,18,4,500
